crop_path,source_image,source_label,box,plate_text
data/char_detection/raw_crops/1733339988000_plate0.jpeg,data/plate_detection/images/train/1733339988000.jpeg,data/plate_detection/labels/train/1733339988000.txt,"99,361,218,403",
data/char_detection/raw_crops/1741156140965-581803062_plate0.jpeg,data/plate_detection/images/train/1741156140965-581803062.jpeg,data/plate_detection/labels/train/1741156140965-581803062.txt,"100,365,237,414",
data/char_detection/raw_crops/f-1739863197606-266832893_plate0.jpg,data/plate_detection/images/train/f-1739863197606-266832893.jpg,data/plate_detection/labels/train/f-1739863197606-266832893.txt,"1334,1703,2901,2056",
data/char_detection/raw_crops/f-1739903745303-692372150_plate0.jpg,data/plate_detection/images/train/f-1739903745303-692372150.jpg,data/plate_detection/labels/train/f-1739903745303-692372150.txt,"796,2456,1515,2691",
data/char_detection/raw_crops/f-1740063274172-297480621_plate0.jpeg,data/plate_detection/images/train/f-1740063274172-297480621.jpeg,data/plate_detection/labels/train/f-1740063274172-297480621.txt,"85,342,231,395",
data/char_detection/raw_crops/f-1740209745170-297087094_plate0.jpeg,data/plate_detection/images/train/f-1740209745170-297087094.jpeg,data/plate_detection/labels/train/f-1740209745170-297087094.txt,"64,338,273,393",
data/char_detection/raw_crops/f-1740385301183-172317371_plate0.jpg,data/plate_detection/images/train/f-1740385301183-172317371.jpg,data/plate_detection/labels/train/f-1740385301183-172317371.txt,"1348,2447,1964,2686",
data/char_detection/raw_crops/f-1740705702188-805559912_plate0.jpg,data/plate_detection/images/train/f-1740705702188-805559912.jpg,data/plate_detection/labels/train/f-1740705702188-805559912.txt,"116,1117,888,1277",
data/char_detection/raw_crops/f-1740734757237-914704593_plate0.jpg,data/plate_detection/images/train/f-1740734757237-914704593.jpg,data/plate_detection/labels/train/f-1740734757237-914704593.txt,"1066,3151,1660,3471",
data/char_detection/raw_crops/f-1740845604839-524143593_plate0.jpg,data/plate_detection/images/train/f-1740845604839-524143593.jpg,data/plate_detection/labels/train/f-1740845604839-524143593.txt,"793,2415,1563,2643",
data/char_detection/raw_crops/f-1740884199672-741783416_plate0.jpeg,data/plate_detection/images/train/f-1740884199672-741783416.jpeg,data/plate_detection/labels/train/f-1740884199672-741783416.txt,"74,349,252,409",
data/char_detection/raw_crops/f-1740968846021-264469581_plate0.jpg,data/plate_detection/images/train/f-1740968846021-264469581.jpg,data/plate_detection/labels/train/f-1740968846021-264469581.txt,"920,1454,1754,1907",
data/char_detection/raw_crops/f-1740986486316-899612676_plate0.jpg,data/plate_detection/images/train/f-1740986486316-899612676.jpg,data/plate_detection/labels/train/f-1740986486316-899612676.txt,"29,1931,1951,2945",
data/char_detection/raw_crops/f-1740993916090-945917135_plate0.jpg,data/plate_detection/images/train/f-1740993916090-945917135.jpg,data/plate_detection/labels/train/f-1740993916090-945917135.txt,"1466,2023,2085,2212",
