epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94804,1.89184,5.24356,1.46367,0,0,0,0,2.18348,5.319,1.57623,0,0,0
2,8.15153,2.05637,5.22181,1.48097,0,0,0,0,2.15979,5.31613,1.56302,2.91089e-06,2.91089e-06,2.91089e-06
3,12.1129,1.99205,5.25924,1.45675,0,0,0,0,2.12827,5.3122,1.54947,5.76358e-06,5.76358e-06,5.76358e-06
4,17.5448,2.00373,5.25826,1.47707,0,0,0,0,2.0932,5.30841,1.53398,8.55805e-06,8.55805e-06,8.55805e-06
5,22.1857,1.98886,5.21039,1.44632,0,0,0,0,2.0327,5.30031,1.50422,1.12943e-05,1.12943e-05,1.12943e-05
6,27.0833,1.88418,5.17307,1.47504,0,0,0,0,1.98339,5.28819,1.47597,1.39724e-05,1.39724e-05,1.39724e-05
7,33.6572,1.87166,5.19768,1.43303,0,0,0,0,1.9152,5.2757,1.43915,1.65922e-05,1.65922e-05,1.65922e-05
8,40.2008,1.85014,5.2036,1.40987,0,0,0,0,1.85552,5.25437,1.39908,1.91538e-05,1.91538e-05,1.91538e-05
9,46.0395,1.84315,5.19765,1.32457,0,0,0,0,1.78104,5.2289,1.35686,2.16572e-05,2.16572e-05,2.16572e-05
10,52.0221,1.67032,5.15318,1.30063,0,0,0,0,1.7088,5.20417,1.31699,2.41024e-05,2.41024e-05,2.41024e-05
11,58.2664,1.7765,5.1397,1.3172,0,0,0,0,1.64085,5.17923,1.2771,2.64894e-05,2.64894e-05,2.64894e-05
12,64.5847,1.68204,5.13462,1.32343,0,0,0,0,1.56715,5.15009,1.23816,2.88182e-05,2.88182e-05,2.88182e-05
13,69.3113,1.61739,5.09482,1.25934,0,0,0,0,1.49905,5.11964,1.19662,3.10887e-05,3.10887e-05,3.10887e-05
14,73.6963,1.59067,5.07348,1.24684,0,0,0,0,1.42326,5.08709,1.15323,3.33011e-05,3.33011e-05,3.33011e-05
15,78.5821,1.46193,5.08529,1.19354,0,0,0,0,1.34345,5.0564,1.11134,3.54552e-05,3.54552e-05,3.54552e-05
16,82.895,1.52285,5.06076,1.18689,0,0,0,0,1.27502,5.02852,1.07855,3.75511e-05,3.75511e-05,3.75511e-05
17,86.7878,1.46303,5.07504,1.16701,0,0,0,0,1.21432,5.00506,1.05028,3.95889e-05,3.95889e-05,3.95889e-05
18,90.6974,1.43548,4.98095,1.21782,0,0,0,0,1.16451,4.9854,1.02741,4.15684e-05,4.15684e-05,4.15684e-05
19,94.6465,1.3633,4.98905,1.11025,0,0,0,0,1.12435,4.96572,1.00622,4.34897e-05,4.34897e-05,4.34897e-05
20,98.5013,1.34423,4.94302,1.11659,0,0,0,0,1.09277,4.94977,0.98995,4.53527e-05,4.53527e-05,4.53527e-05
21,102.409,1.22578,4.89278,1.07591,0,0,0,0,1.07198,4.93626,0.97777,4.71576e-05,4.71576e-05,4.71576e-05
22,106.782,1.31246,4.89153,1.09031,0,0,0,0,1.05931,4.92221,0.96755,4.89043e-05,4.89043e-05,4.89043e-05
23,110.775,1.27065,4.88427,1.02769,0,0,0,0,1.05153,4.90407,0.95851,5.05927e-05,5.05927e-05,5.05927e-05
24,114.816,1.22558,4.78161,1.04855,0,0,0,0,1.05103,4.89076,0.95324,5.22229e-05,5.22229e-05,5.22229e-05
25,118.56,1.31271,4.86599,1.05479,0,0,0,0,1.04841,4.88062,0.94751,5.37949e-05,5.37949e-05,5.37949e-05
26,122.858,1.13776,4.70125,1.03354,0,0,0,0,1.04962,4.87129,0.94239,5.53087e-05,5.53087e-05,5.53087e-05
27,126.916,1.22734,4.79153,1.03649,0,0,0,0,1.0442,4.86357,0.93701,5.67643e-05,5.67643e-05,5.67643e-05
28,130.944,1.24945,4.69864,1.0616,0,0,0,0,1.03551,4.85419,0.9323,5.81617e-05,5.81617e-05,5.81617e-05
29,135.295,1.22271,4.69427,1.03048,0,0,0,0,1.02673,4.83943,0.92555,5.95009e-05,5.95009e-05,5.95009e-05
30,139.296,1.21987,4.62029,1.03098,0,0,0,0,1.0104,4.82104,0.91712,6.07819e-05,6.07819e-05,6.07819e-05
31,143.362,1.18551,4.57413,1.00093,0,0,0,0,0.9897,4.79937,0.90749,6.20046e-05,6.20046e-05,6.20046e-05
32,147.592,1.21329,4.6426,0.99639,0,0,0,0,0.97537,4.78291,0.90246,6.31691e-05,6.31691e-05,6.31691e-05
33,151.477,1.12148,4.56244,0.96701,0,0,0,0,0.96335,4.76677,0.89721,6.42755e-05,6.42755e-05,6.42755e-05
34,155.292,1.14893,4.56485,0.95033,0,0,0,0,0.95551,4.75152,0.89279,6.53236e-05,6.53236e-05,6.53236e-05
35,159.146,1.08083,4.42471,0.96006,0,0,0,0,0.94788,4.73575,0.88934,6.63135e-05,6.63135e-05,6.63135e-05
36,163.373,1.07926,4.39699,0.99326,0,0,0,0,0.94596,4.71977,0.88756,6.72451e-05,6.72451e-05,6.72451e-05
37,167.866,1.05869,4.46433,0.92863,0,0,0,0,0.94294,4.70441,0.88447,6.81186e-05,6.81186e-05,6.81186e-05
38,171.733,1.07616,4.43287,0.95832,0,0,0,0,0.93918,4.68853,0.8824,6.89339e-05,6.89339e-05,6.89339e-05
39,175.736,1.06622,4.31457,0.96365,0.02083,0.00164,0.00078,0.0007,0.93007,4.67343,0.87991,6.96909e-05,6.96909e-05,6.96909e-05
40,179.604,1.0679,4.36031,0.95487,0.025,0.00329,0.00172,0.00143,0.92571,4.65695,0.87844,7.03898e-05,7.03898e-05,7.03898e-05
41,184.013,1.02108,4.26443,0.93004,0.025,0.00987,0.00484,0.00402,0.92097,4.64159,0.87845,7.10304e-05,7.10304e-05,7.10304e-05
42,188.332,1.01664,4.23336,0.93631,0.02083,0.01151,0.00534,0.0045,0.91345,4.62698,0.87783,7.16128e-05,7.16128e-05,7.16128e-05
43,192.62,1.09413,4.24852,0.93318,0.02148,0.01809,0.00737,0.00608,0.90224,4.60543,0.87529,7.2137e-05,7.2137e-05,7.2137e-05
44,197.268,0.98298,4.23482,0.94241,0.02031,0.02138,0.0085,0.00685,0.89281,4.58446,0.87252,7.2603e-05,7.2603e-05,7.2603e-05
45,201.201,0.99529,4.03989,0.95712,0.03646,0.0298,0.01079,0.0087,0.88719,4.56455,0.87162,7.30108e-05,7.30108e-05,7.30108e-05
46,205.252,1.0298,4.12752,0.93376,0.03521,0.03822,0.01373,0.0112,0.88581,4.54845,0.87219,7.33603e-05,7.33603e-05,7.33603e-05
47,209.512,1.00568,4.04643,0.93283,0.03262,0.04334,0.01518,0.01241,0.88619,4.53335,0.87308,7.36517e-05,7.36517e-05,7.36517e-05
48,213.881,0.99536,4.07827,0.92003,0.04099,0.05419,0.01753,0.01423,0.88657,4.51596,0.87203,7.38848e-05,7.38848e-05,7.38848e-05
49,218.126,1.05298,4.05213,0.92588,0.04306,0.06318,0.02212,0.01812,0.87789,4.49938,0.87102,7.40598e-05,7.40598e-05,7.40598e-05
50,222.499,0.96879,4.05565,0.92306,0.0423,0.07015,0.02492,0.02032,0.86949,4.48412,0.87083,7.41765e-05,7.41765e-05,7.41765e-05
51,226.735,1.07859,4.06457,0.93527,0.0423,0.07015,0.02492,0.02032,0.86949,4.48412,0.87083,7.4235e-05,7.4235e-05,7.4235e-05
52,230.747,0.98883,3.97867,0.9391,0.10301,0.08119,0.03078,0.02473,0.86577,4.46174,0.87001,7.42353e-05,7.42353e-05,7.42353e-05
53,234.587,0.98149,3.92059,0.92887,0.10301,0.08119,0.03078,0.02473,0.86577,4.46174,0.87001,7.41774e-05,7.41774e-05,7.41774e-05
54,245.025,1.03137,4.02982,0.9206,0.0663,0.09137,0.03355,0.02704,0.86356,4.44076,0.86957,7.40612e-05,7.40612e-05,7.40612e-05
55,253.096,0.98285,3.97136,0.90883,0.0663,0.09137,0.03355,0.02704,0.86356,4.44076,0.86957,7.38869e-05,7.38869e-05,7.38869e-05
56,261.487,0.95352,4.01082,0.91872,0.06566,0.11341,0.03652,0.02919,0.86374,4.41763,0.86888,7.36543e-05,7.36543e-05,7.36543e-05
57,269.782,0.993,3.932,0.93227,0.06566,0.11341,0.03652,0.02919,0.86374,4.41763,0.86888,7.33636e-05,7.33636e-05,7.33636e-05
58,276.461,0.97953,3.95684,0.89689,0.06469,0.13313,0.04395,0.03526,0.86209,4.39328,0.86893,7.30146e-05,7.30146e-05,7.30146e-05
59,281.175,1.01133,3.94645,0.90572,0.06469,0.13313,0.04395,0.03526,0.86209,4.39328,0.86893,7.26074e-05,7.26074e-05,7.26074e-05
60,286.009,0.96966,3.92029,0.92571,0.06622,0.15031,0.05063,0.04021,0.85917,4.36921,0.8684,7.2142e-05,7.2142e-05,7.2142e-05
61,289.936,0.96987,3.80284,0.90402,0.06622,0.15031,0.05063,0.04021,0.85917,4.36921,0.8684,7.16184e-05,7.16184e-05,7.16184e-05
62,293.818,0.98289,3.86619,0.94222,0.08274,0.18784,0.05868,0.04568,0.85998,4.34688,0.86814,7.10366e-05,7.10366e-05,7.10366e-05
63,297.469,1.04163,3.78612,0.9369,0.08274,0.18784,0.05868,0.04568,0.85998,4.34688,0.86814,7.03965e-05,7.03965e-05,7.03965e-05
64,301.201,0.96453,3.81137,0.90731,0.07609,0.20416,0.06391,0.04997,0.86647,4.32582,0.86923,6.96983e-05,6.96983e-05,6.96983e-05
65,304.663,0.9282,3.78514,0.91014,0.07609,0.20416,0.06391,0.04997,0.86647,4.32582,0.86923,6.89418e-05,6.89418e-05,6.89418e-05
66,308.012,0.98522,3.74957,0.9231,0.07552,0.22466,0.06977,0.05386,0.87676,4.30123,0.87088,6.81272e-05,6.81272e-05,6.81272e-05
67,311.284,0.98536,3.81007,0.90193,0.07552,0.22466,0.06977,0.05386,0.87676,4.30123,0.87088,6.72543e-05,6.72543e-05,6.72543e-05
68,314.582,0.92297,3.82545,0.91302,0.09354,0.25984,0.07754,0.05958,0.87973,4.27737,0.87244,6.63232e-05,6.63232e-05,6.63232e-05
