epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0689,1.89184,5.24356,1.46367,0,0,0,0,2.18348,5.319,1.57623,0,0,0
2,8.05012,2.05637,5.22181,1.48097,0,0,0,0,2.15979,5.31613,1.56302,2.91089e-06,2.91089e-06,2.91089e-06
3,12.0602,1.99205,5.25924,1.45675,0,0,0,0,2.12827,5.3122,1.54947,5.76358e-06,5.76358e-06,5.76358e-06
4,16.2286,2.00373,5.25826,1.47707,0,0,0,0,2.0932,5.30841,1.53398,8.55805e-06,8.55805e-06,8.55805e-06
5,20.2381,1.98886,5.21039,1.44632,0,0,0,0,2.0327,5.30031,1.50422,1.12943e-05,1.12943e-05,1.12943e-05
6,24.101,1.88418,5.17307,1.47504,0,0,0,0,1.98339,5.28819,1.47597,1.39724e-05,1.39724e-05,1.39724e-05
7,27.89,1.87166,5.19768,1.43303,0,0,0,0,1.9152,5.2757,1.43915,1.65922e-05,1.65922e-05,1.65922e-05
8,31.8758,1.85014,5.2036,1.40987,0,0,0,0,1.85552,5.25437,1.39908,1.91538e-05,1.91538e-05,1.91538e-05
9,35.7213,1.84315,5.19766,1.32457,0,0,0,0,1.78104,5.2289,1.35686,2.16572e-05,2.16572e-05,2.16572e-05
10,40.2499,1.67032,5.15317,1.30063,0,0,0,0,1.7088,5.20417,1.31699,2.41024e-05,2.41024e-05,2.41024e-05
11,44.5059,1.7765,5.1397,1.3172,0,0,0,0,1.64085,5.17923,1.2771,2.64894e-05,2.64894e-05,2.64894e-05
12,48.552,1.68204,5.13462,1.32343,0,0,0,0,1.56715,5.15009,1.23816,2.88182e-05,2.88182e-05,2.88182e-05
13,53.1137,1.61739,5.09482,1.25934,0,0,0,0,1.49905,5.11964,1.19662,3.10887e-05,3.10887e-05,3.10887e-05
14,57.5757,1.59067,5.07348,1.24684,0,0,0,0,1.42326,5.08709,1.15323,3.33011e-05,3.33011e-05,3.33011e-05
15,61.5143,1.46197,5.08525,1.19346,0,0,0,0,1.34345,5.05637,1.11126,3.54552e-05,3.54552e-05,3.54552e-05
16,65.6633,1.52284,5.06075,1.18689,0,0,0,0,1.27525,5.02862,1.07854,3.75511e-05,3.75511e-05,3.75511e-05
17,69.7058,1.46301,5.07502,1.167,0,0,0,0,1.21423,5.00503,1.05024,3.95889e-05,3.95889e-05,3.95889e-05
18,73.8188,1.43533,4.98099,1.21776,0,0,0,0,1.16452,4.98531,1.02738,4.15684e-05,4.15684e-05,4.15684e-05
19,77.8657,1.36324,4.98906,1.11024,0,0,0,0,1.1238,4.96596,1.00625,4.34897e-05,4.34897e-05,4.34897e-05
20,81.8229,1.34423,4.94299,1.11649,0,0,0,0,1.09274,4.94971,0.98997,4.53527e-05,4.53527e-05,4.53527e-05
21,85.7507,1.22585,4.8926,1.07589,0,0,0,0,1.07204,4.93625,0.97779,4.71576e-05,4.71576e-05,4.71576e-05
22,89.8983,1.31243,4.89159,1.09029,0,0,0,0,1.05936,4.92212,0.96747,4.89043e-05,4.89043e-05,4.89043e-05
23,93.7301,1.27059,4.88425,1.02768,0,0,0,0,1.05141,4.90399,0.95838,5.05927e-05,5.05927e-05,5.05927e-05
24,97.6896,1.22545,4.78152,1.04851,0,0,0,0,1.05076,4.8907,0.95312,5.22229e-05,5.22229e-05,5.22229e-05
25,102.182,1.31254,4.8663,1.05469,0,0,0,0,1.04797,4.88087,0.94746,5.37949e-05,5.37949e-05,5.37949e-05
26,106.308,1.13787,4.70116,1.03356,0,0,0,0,1.04993,4.87154,0.94283,5.53087e-05,5.53087e-05,5.53087e-05
27,110.476,1.22759,4.79155,1.03667,0,0,0,0,1.04389,4.86386,0.93715,5.67643e-05,5.67643e-05,5.67643e-05
28,114.837,1.24966,4.6986,1.06184,0,0,0,0,1.03545,4.85444,0.93226,5.81617e-05,5.81617e-05,5.81617e-05
29,119.404,1.22258,4.69453,1.03069,0,0,0,0,1.02542,4.84042,0.926,5.95009e-05,5.95009e-05,5.95009e-05
