epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5087,1.89184,5.24356,1.46367,0,0,0,0,2.18348,5.319,1.57623,0,0,0
2,67.5667,2.05637,5.22181,1.48097,0,0,0,0,2.15975,5.31612,1.563,2.9206e-06,2.9206e-06,2.9206e-06
3,117.614,1.99202,5.25924,1.45674,0,0,0,0,2.1281,5.3122,1.54945,5.80238e-06,5.80238e-06,5.80238e-06
4,160.459,2.00356,5.25829,1.47703,0,0,0,0,2.09269,5.30834,1.5338,8.64536e-06,8.64536e-06,8.64536e-06
5,184.344,1.9885,5.21044,1.44634,0,0,0,0,2.03177,5.30022,1.50386,1.14495e-05,1.14495e-05,1.14495e-05
6,208.567,1.88347,5.173,1.47474,0,0,0,0,1.98253,5.28765,1.47548,1.42149e-05,1.42149e-05,1.42149e-05
7,231.845,1.8698,5.19727,1.43219,0,0,0,0,1.913,5.27559,1.438,1.69415e-05,1.69415e-05,1.69415e-05
8,265.713,1.84764,5.20303,1.40878,0,0,0,0,1.85277,5.25436,1.39814,1.96292e-05,1.96292e-05,1.96292e-05
9,298.263,1.83888,5.19704,1.32317,0,0,0,0,1.77759,5.22843,1.35513,2.22781e-05,2.22781e-05,2.22781e-05
10,347.871,1.66703,5.15255,1.29937,0,0,0,0,1.70402,5.20294,1.3145,2.48883e-05,2.48883e-05,2.48883e-05
11,387.608,1.7725,5.139,1.31539,0,0,0,0,1.63053,5.17946,1.27388,2.74596e-05,2.74596e-05,2.74596e-05
12,438.144,1.6744,5.13363,1.3203,0,0,0,0,1.55581,5.14872,1.23295,2.99921e-05,2.99921e-05,2.99921e-05
13,466.463,1.60775,5.0923,1.25564,0,0,0,0,1.48852,5.11845,1.19159,3.24858e-05,3.24858e-05,3.24858e-05
14,498.408,1.5823,5.07151,1.24339,0,0,0,0,1.40728,5.08392,1.14543,3.49407e-05,3.49407e-05,3.49407e-05
15,503.115,1.4514,5.08401,1.18972,0,0,0,0,1.32621,5.05335,1.10394,3.73568e-05,3.73568e-05,3.73568e-05
16,507.375,1.51397,5.05817,1.18374,0,0,0,0,1.25358,5.0268,1.07111,3.97341e-05,3.97341e-05,3.97341e-05
17,511.701,1.45808,5.06995,1.16307,0,0,0,0,1.19621,5.00074,1.04183,4.20726e-05,4.20726e-05,4.20726e-05
18,515.861,1.42105,4.97657,1.21136,0,0,0,0,1.1464,4.98373,1.01976,4.43722e-05,4.43722e-05,4.43722e-05
19,520.141,1.35868,4.98181,1.10753,0,0,0,0,1.1095,4.96373,0.99959,4.66331e-05,4.66331e-05,4.66331e-05
20,524.187,1.3313,4.93517,1.11119,0,0,0,0,1.08319,4.94553,0.98407,4.88552e-05,4.88552e-05,4.88552e-05
21,528.279,1.21525,4.88146,1.07096,0,0,0,0,1.06354,4.93317,0.9731,5.10384e-05,5.10384e-05,5.10384e-05
22,532.224,1.30121,4.87764,1.0834,0,0,0,0,1.05442,4.91848,0.96422,5.31828e-05,5.31828e-05,5.31828e-05
23,536.584,1.25927,4.86536,1.02007,0,0,0,0,1.05226,4.89866,0.95522,5.52885e-05,5.52885e-05,5.52885e-05
24,540.94,1.21759,4.7592,1.04209,0,0,0,0,1.05063,4.88638,0.94976,5.73553e-05,5.73553e-05,5.73553e-05
25,545.111,1.2929,4.84216,1.04427,0,0,0,0,1.05384,4.8743,0.94491,5.93833e-05,5.93833e-05,5.93833e-05
26,550.103,1.13299,4.67724,1.02603,0,0,0,0,1.05053,4.86611,0.94078,6.13725e-05,6.13725e-05,6.13725e-05
27,554.559,1.21092,4.76932,1.02803,0,0,0,0,1.04617,4.8571,0.93594,6.33229e-05,6.33229e-05,6.33229e-05
28,558.85,1.24359,4.67141,1.05467,0,0,0,0,1.03809,4.84182,0.92907,6.52345e-05,6.52345e-05,6.52345e-05
29,562.953,1.21401,4.66409,1.02196,0,0,0,0,1.01674,4.82376,0.91973,6.71073e-05,6.71073e-05,6.71073e-05
30,567.109,1.20476,4.58821,1.02229,0,0,0,0,0.99816,4.80018,0.90958,6.89412e-05,6.89412e-05,6.89412e-05
31,571.213,1.17097,4.54101,0.99288,0,0,0,0,0.97902,4.77869,0.90152,7.07364e-05,7.07364e-05,7.07364e-05
32,575.228,1.19876,4.60736,0.98732,0,0,0,0,0.96405,4.75938,0.89506,7.24928e-05,7.24928e-05,7.24928e-05
33,579.159,1.10378,4.52102,0.95935,0,0,0,0,0.95355,4.74147,0.8913,7.42103e-05,7.42103e-05,7.42103e-05
34,583.117,1.13406,4.52354,0.94371,0,0,0,0,0.9451,4.72483,0.88737,7.5889e-05,7.5889e-05,7.5889e-05
35,587.34,1.06662,4.38187,0.95253,0,0,0,0,0.93906,4.7072,0.88364,7.7529e-05,7.7529e-05,7.7529e-05
36,591.234,1.06566,4.35483,0.98642,0,0,0,0,0.93751,4.69087,0.88083,7.91301e-05,7.91301e-05,7.91301e-05
