epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6163,1.33202,3.87385,1.38009,0.00217,0.65,0.00424,0.00254,1.18291,4.16904,1.34885,4e-05,4e-05,4e-05
2,30.0749,1.24386,3.85599,1.28042,0.003,0.9,0.02144,0.01368,1.10977,3.96569,1.12758,9.901e-05,9.901e-05,9.901e-05
3,43.4193,1.05097,3.20589,1.087,0.00325,0.975,0.13515,0.09089,1.03199,3.68351,0.95431,0.000156832,0.000156832,0.000156832
4,56.0075,1.04203,2.587,1.05745,0.00333,1,0.31013,0.1807,1.04124,3.56937,0.91624,0.000213466,0.000213466,0.000213466
5,68.5385,1.11187,2.11857,1.06429,0.00333,1,0.51004,0.31425,1.03675,3.41262,0.90321,0.000268912,0.000268912,0.000268912
6,82.8566,1.08924,2.08124,1.05899,0.00333,1,0.4984,0.25936,0.93074,3.43689,0.90692,0.00032317,0.00032317,0.00032317
7,97.0786,1.01397,2.13762,1.00623,0.00333,1,0.48568,0.24465,0.89971,3.47884,0.91346,0.00037624,0.00037624,0.00037624
8,110.97,1.03455,1.99933,0.98499,0.00333,1,0.35122,0.16345,0.89261,3.52874,0.92544,0.000428122,0.000428122,0.000428122
9,123.6,0.95823,1.76547,1.04508,0.00333,1,0.2896,0.17667,0.83218,3.49874,0.92129,0.000478816,0.000478816,0.000478816
10,136.598,1.09587,1.75202,1.03258,0.00333,1,0.29715,0.18596,0.85991,3.44905,0.92487,0.000528322,0.000528322,0.000528322
11,151.761,1.11193,1.93992,0.99274,0.00924,0.82675,0.20841,0.14126,0.92161,3.63066,0.99019,0.00057664,0.00057664,0.00057664
12,169.005,1.02506,1.43697,0.98188,0.00318,0.95,0.05526,0.03503,0.94879,3.84351,1.07434,0.00062377,0.00062377,0.00062377
13,186.034,1.04824,1.65009,1.00442,0.00317,0.95,0.04096,0.0291,0.99311,3.9298,1.12927,0.000669712,0.000669712,0.000669712
14,203.197,1.06911,1.57887,0.98785,0.62276,0.025,0.06771,0.04332,0.87888,3.76241,1.04902,0.000714466,0.000714466,0.000714466
15,221.339,1.06401,1.51056,1.00486,1,0.04238,0.3517,0.25498,0.92397,3.51123,1.00257,0.000758032,0.000758032,0.000758032
16,239.325,1.03898,1.40324,1.02282,1,0.04644,0.41739,0.28867,1.01535,3.47492,1.00435,0.00080041,0.00080041,0.00080041
17,256.626,1.16781,1.64079,1.06649,0.44215,0.025,0.15868,0.11636,0.98515,3.63552,0.98378,0.0008416,0.0008416,0.0008416
18,274.459,1.02699,1.55884,0.96607,0.36613,0.02992,0.14565,0.10467,0.96631,3.64412,0.98922,0.000881602,0.000881602,0.000881602
19,295.282,0.92216,1.40578,0.97884,0.65221,0.04783,0.16359,0.10829,0.95073,3.63109,1.04703,0.000920416,0.000920416,0.000920416
20,313.769,1.04793,1.36204,1.01275,0.93912,0.175,0.30937,0.19425,1.13545,3.65102,1.13891,0.000958042,0.000958042,0.000958042
21,331.5,1.02052,1.46046,1.00049,1,0.08967,0.28101,0.18421,1.11716,3.7979,1.187,0.00099448,0.00099448,0.00099448
22,350.266,0.99026,1.32153,0.99666,1,0.12541,0.23529,0.15993,1.02155,3.79873,1.15962,0.00102973,0.00102973,0.00102973
23,371.994,0.95468,1.50476,1.05113,1,0.05287,0.12888,0.08165,1.07861,4.0702,1.26342,0.00106379,0.00106379,0.00106379
